범위,이벤트,모델,τ,변수,β,SE,p,n,유효n,BW,방법
이벤트별,이스라엘-하마스,Gold+GPR,0.01,GPR_custom_z,0.00457,0.00865,0.598,262,2.6,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.025,Gold_z,0.00063,0.00701,0.9289,262,6.6,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.025,GPR_custom_z,0.00258,0.00756,0.7331,262,6.6,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.05,Gold_z,0.00116,0.0064,0.8559,262,13.1,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.05,GPR_custom_z,-0.00139,0.00725,0.8483,262,13.1,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.1,Gold_z,0.00457,0.00525,0.3851,262,26.2,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.1,GPR_custom_z,0.00226,0.00454,0.6187,262,26.2,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.2,Gold_z,0.00467,0.00449,0.2995,262,52.4,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.2,GPR_custom_z,0.0004,0.00334,0.9036,262,52.4,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.25,Gold_z,0.00157,0.00443,0.7238,262,65.5,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.25,GPR_custom_z,0.00038,0.00296,0.8974,262,65.5,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.5,Gold_z,0.00376,0.00382,0.3269,262,131.0,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.5,GPR_custom_z,-0.00057,0.00205,0.7811,262,131.0,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.75,Gold_z,0.00222,0.00367,0.5463,262,196.5,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.75,GPR_custom_z,0.00279,0.00257,0.2784,262,196.5,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.9,Gold_z,0.00424,0.004,0.2895,262,235.8,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.9,GPR_custom_z,0.00805,0.00547,0.1426,262,235.8,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.95,Gold_z,0.00054,0.00486,0.9115,262,248.9,4,HAC(bw=4)
이벤트별,이스라엘-하마스,Gold+GPR,0.95,GPR_custom_z,0.00507,0.00766,0.5084,262,248.9,4,HAC(bw=4)
이벤트별,이스라엘-이란 충돌,SP500+GPR,0.01,SP500_z,0.02307,0.00655,0.0005,299,3.0,5,HAC(bw=5)
이벤트별,이스라엘-이란 충돌,SP500+GPR,0.01,GPR_custom_z,-0.00363,0.00844,0.6674,299,3.0,5,HAC(bw=5)
이벤트별,이스라엘-이란 충돌,SP500+GPR,0.025,SP500_z,0.02872,0.00585,0.0,299,7.5,5,HAC(bw=5)
이벤트별,이스라엘-이란 충돌,SP500+GPR,0.025,GPR_custom_z,-0.00411,0.00687,0.55,299,7.5,5,HAC(bw=5)
이벤트별,이스라엘-이란 충돌,SP500+GPR,0.05,SP500_z,0.02371,0.00512,0.0,299,15.0,5,HAC(bw=5)
